,COD_CPPOP_CRI,IRPAR_USAGE_V12_MAX,IRPRO_USAGE_V12_MAX,QUA_INT_1_BRP,QUA_INT_MAX_BRP,CODTYP_CRT_TRAVAIL_CRI,COD_SITU_LOGT_CRI,COD_TYPE_MARCHE_CRI,IND_PRIMO_ACCEDT_CRI,TOP_NAT_FR_CRI,g_MNT_TOT_ASSURANCE_CRI,g_COUT_RACHAT_BRP,g_quotite,g_PCT_TEG_TAEG_CRI,g_MOY_ANC_PROF_BRP,g_BEST_APPORT_TX_BRP,defaut_36mois
108196,0,0,0,3,2,0,2,1,1,1,grp_1,grp_3,grp_3,grp_2,grp_3,,0
108197,0,0,1,0,0,1,3,0,1,1,grp_1,grp_3,grp_1,grp_3,grp_3,grp_1,0
108198,0,0,1,0,1,0,1,0,0,1,grp_3,grp_3,grp_3,grp_2,grp_1,,0
108199,2,0,1,0,0,0,3,0,1,1,grp_3,grp_2,grp_1,grp_2,grp_3,grp_2,0
108200,2,0,1,0,0,0,2,1,1,1,grp_2,grp_2,grp_3,grp_2,grp_1,grp_3,0
108201,2,0,1,0,0,0,3,0,1,1,grp_1,grp_1,grp_1,grp_2,grp_3,grp_2,0
108202,0,1,1,2,0,0,1,0,0,1,grp_3,grp_3,grp_4,grp_3,grp_3,grp_3,0
108203,1,0,1,0,1,0,1,0,0,1,grp_2,grp_3,grp_3,grp_1,grp_3,grp_3,0
108204,2,0,1,0,0,0,1,0,1,1,grp_1,grp_1,grp_1,grp_2,grp_1,grp_2,0
108205,1,0,1,2,1,0,1,0,0,1,grp_2,grp_3,grp_3,grp_2,grp_2,grp_2,0
108206,0,0,1,2,1,0,1,0,1,1,grp_1,grp_3,grp_4,grp_2,grp_2,grp_4,0
108207,1,0,1,0,0,0,2,1,1,1,grp_3,grp_3,grp_1,grp_3,grp_2,grp_1,0
108208,0,0,1,0,0,1,2,1,0,1,grp_1,grp_3,grp_1,grp_2,grp_2,grp_1,0
108209,0,2,1,0,0,0,1,0,0,1,grp_3,grp_3,grp_4,grp_3,grp_3,grp_4,0
108210,0,2,1,0,0,0,3,0,1,1,grp_2,grp_3,grp_3,grp_1,grp_3,grp_3,0
108211,0,0,1,2,1,0,1,0,0,1,grp_1,grp_3,grp_1,grp_2,grp_3,grp_1,0
108212,2,0,1,0,0,0,3,0,1,1,grp_3,grp_2,grp_1,grp_3,grp_1,grp_3,0
108213,2,0,1,0,0,2,3,0,1,1,grp_1,grp_1,grp_3,grp_3,grp_1,grp_2,0
108214,2,0,1,0,0,2,3,0,1,1,grp_2,grp_1,grp_1,grp_3,grp_1,grp_2,0
108215,0,0,1,0,0,0,1,0,0,1,grp_2,grp_3,grp_1,grp_2,grp_3,grp_2,0
108216,0,0,1,0,0,0,3,0,1,1,grp_2,grp_3,grp_3,grp_3,grp_3,grp_3,0
108217,0,0,1,0,0,0,2,0,0,0,grp_1,grp_3,grp_1,grp_2,grp_2,grp_2,0
108218,0,0,1,1,0,1,3,0,1,1,grp_1,grp_3,grp_1,grp_4,grp_3,grp_1,0
108219,1,0,1,2,1,0,3,0,1,1,grp_1,grp_3,grp_1,grp_1,grp_2,grp_1,0
108220,0,0,1,2,1,2,1,0,0,1,grp_1,grp_3,grp_1,grp_3,grp_2,grp_2,0
108221,2,0,1,0,0,0,3,0,1,1,grp_1,grp_1,grp_1,grp_3,grp_2,,0
108222,2,0,0,3,2,0,2,1,1,1,grp_1,grp_1,grp_3,grp_3,grp_3,grp_1,0
108223,2,0,1,0,1,1,3,0,1,1,grp_1,grp_1,grp_3,grp_3,grp_1,grp_3,0
108224,1,0,1,0,0,0,3,0,1,1,grp_1,grp_3,grp_1,grp_3,grp_1,,0
108225,1,0,1,1,0,0,1,0,0,1,grp_2,grp_3,grp_3,grp_3,grp_1,,1
108226,1,0,1,0,0,0,3,1,1,1,grp_1,grp_3,grp_4,grp_3,grp_3,grp_4,0
108227,2,0,1,0,0,0,3,0,1,1,grp_2,grp_1,grp_4,grp_3,grp_3,grp_1,0
108228,0,0,1,0,0,0,2,0,1,1,grp_1,grp_3,grp_4,grp_2,grp_1,grp_4,0
